-7.3805,203.69,150.88,-10.625,5.3125,-6.3272,200,186.64,143.91,0,-0.22342,-16.978,404.97,175.16,160,-3.1389,-1.151,-0.012665,7.3306,157.81,170.44,5.0335,-1.5103,13.79,200,145.63,169,0,-1,3.8203
-7.8936,203.95,150.56,-10.263,5.1315,-6.3701,200,186.63,143.08,0,-0.22187,-16.434,404.8,175.1,160,-3.3829,-1.2405,-0.012577,7.5643,157.74,171.12,4.6739,-1.4024,13.523,200,145.58,169.2,0,-1,3.8692
-8.3874,204.19,150.24,-9.8757,4.9379,-6.3974,200,186.62,142.29,0,-0.21977,-15.85,404.62,175.04,160,-3.6185,-1.3269,-0.012458,7.7794,157.68,171.78,4.3029,-1.2911,13.223,200,145.53,169.39,0,-1,3.9086
-8.8606,204.43,149.92,-9.4643,4.7322,-6.4091,200,186.61,141.53,0,-0.21714,-15.226,404.43,174.96,160,-3.8453,-1.4101,-0.01231,7.9755,157.62,172.43,3.9213,-1.1766,12.89,200,145.48,169.59,0,-1,3.9385
-9.3121,204.66,149.6,-9.0297,4.5149,-6.4049,200,186.59,140.8,0,-0.21397,-14.566,404.23,174.89,160,-4.0627,-1.4898,-0.01213,8.152,157.56,173.05,3.5301,-1.0592,12.526,200,145.43,169.79,0,-1,3.9586
-9.7408,204.87,149.28,-8.573,4.2865,-6.3851,200,186.58,140.11,0,-0.21028,-13.869,404.01,174.81,160,-4.2701,-1.5658,-0.011921,8.3085,157.52,173.66,3.1302,-0.93923,12.131,200,145.38,169.99,0,-1,3.9691
-10.146,205.07,148.96,-8.0952,4.0476,-6.3497,200,186.57,139.45,0,-0.20608,-13.139,403.79,174.73,159.99,-4.467,-1.638,-0.011683,8.4446,157.48,174.24,2.7227,-0.81695,11.706,200,145.33,170.18,0,-1,3.9698
-10.525,205.26,148.64,-7.5975,3.7988,-6.2986,200,186.56,138.83,0,-0.20136,-12.376,403.56,174.64,159.99,-4.6529,-1.7062,-0.011416,8.56,157.44,174.81,2.3085,-0.69266,11.253,200,145.28,170.38,0,-1,3.9608
-10.879,205.44,148.33,-7.0813,3.5406,-6.2321,200,186.55,138.25,0,-0.19616,-11.583,403.32,174.56,159.99,-4.8275,-1.7702,-0.011122,8.6545,157.41,175.35,1.8886,-0.56668,10.771,200,145.23,170.58,0,-1,3.9421
-11.207,205.6,148.03,-6.5476,3.2738,-6.1503,200,186.54,137.72,0,-0.19047,-10.762,403.07,174.46,159.99,-4.9902,-1.8299,-0.0108,8.7277,157.39,175.86,1.4641,-0.43931,10.264,200,145.18,170.77,0,-1,3.9137
-11.507,205.75,147.72,-5.9979,2.999,-6.0535,200,186.54,137.22,0,-0.18432,-9.9141,402.81,174.37,159.99,-5.1406,-1.8851,-0.010451,8.7795,157.38,176.35,1.036,-0.31086,9.7314,200,145.13,170.97,0,-1,3.8757
-11.778,205.89,147.43,-5.4335,2.7168,-5.9418,200,186.53,136.77,0,-0.17771,-9.042,402.55,174.27,159.99,-5.2785,-1.9356,-0.010077,8.8098,157.37,176.8,0.60539,-0.18165,9.1749,200,145.08,171.16,0,-1,3.8282
-12.021,206.01,147.13,-4.8558,2.4279,-5.8155,200,186.52,136.36,0,-0.17067,-8.1477,402.28,174.17,159.99,-5.4034,-1.9814,-0.0096779,8.8184,157.36,177.23,0.17327,-0.051991,8.5959,200,145.03,171.35,0,-1,3.7714
-12.235,206.12,146.85,-4.2662,2.1331,-5.6749,200,186.51,136,0,-0.16321,-7.2334,402,174.07,159.99,-5.5151,-2.0224,-0.0092552,8.8055,157.37,177.63,-0.25927,0.077794,7.9958,200,144.98,171.53,0,-1,3.7052
-12.418,206.21,146.57,-3.6661,1.833,-5.5205,200,186.5,135.68,0,-0.15535,-6.3014,401.72,173.97,159.99,-5.6132,-2.0584,-0.0088099,8.7709,157.38,178,-0.69118,0.20739,7.3761,200,144.93,171.71,0,-1,3.63
-12.571,206.29,146.31,-3.057,1.5285,-5.3525,200,186.49,135.42,0,-0.14711,-5.3539,401.44,173.87,159.99,-5.6976,-2.0893,-0.0083429,8.7148,157.4,178.34,-1.1214,0.33647,6.7383,200,144.88,171.89,0,-1,3.5459
-12.693,206.35,146.05,-2.4404,1.2202,-5.1714,200,186.49,135.2,0,-0.1385,-4.3933,401.15,173.76,159.99,-5.768,-2.1151,-0.0078555,8.6374,157.42,178.64,-1.5489,0.46473,6.084,200,144.83,172.06,0,-1,3.4531
-12.784,206.39,145.8,-1.8178,0.9089,-4.9776,200,186.48,135.03,0,-0.12956,-3.4219,400.86,173.65,159.99,-5.8242,-2.1358,-0.0073488,8.5388,157.45,178.91,-1.9725,0.59185,5.4148,200,144.78,172.23,0,-1,3.3518
-12.843,206.42,145.56,-1.1908,0.59538,-4.7715,200,186.48,134.9,0,-0.1203,-2.4422,400.56,173.55,159.99,-5.8662,-2.1511,-0.0068241,8.4192,157.48,179.15,-2.3913,0.71752,4.7323,200,144.73,172.39,0,-1,3.2423
-12.871,206.44,145.33,-0.56081,0.2804,-4.5538,200,186.47,134.83,0,-0.11075,-1.4564,400.27,173.44,159.99,-5.8938,-2.1613,-0.0062827,8.279,157.53,179.35,-2.8043,0.84143,4.0382,200,144.68,172.55,0,-1,3.1249
-12.868,206.43,145.12,0.07052,-0.03526,-4.3249,200,186.46,134.81,0,-0.10092,-0.46708,399.97,173.33,159.99,-5.9069,-2.1661,-0.0057258,8.1185,157.57,179.52,-3.2104,0.96328,3.3341,200,144.63,172.7,0,-1,2.9997
-12.833,206.42,144.91,0.70168,-0.35084,-4.0854,200,186.46,134.83,0,-0.090847,0.52339,399.68,173.22,159.99,-5.9056,-2.1656,-0.0051549,7.938,157.63,179.65,-3.6086,1.0828,2.622,200,144.58,172.84,0,-1,2.8673
-12.766,206.38,144.72,1.3311,-0.66556,-3.8359,200,186.46,134.91,0,-0.08055,1.5126,399.38,173.11,159.99,-5.8897,-2.1598,-0.0045714,7.7381,157.69,179.75,-3.998,1.1996,1.9033,200,144.53,172.98,0,-1,2.7278
-12.668,206.33,144.54,1.9573,-0.97864,-3.577,200,186.45,135.03,0,-0.070055,2.4981,399.09,173.01,159.99,-5.8594,-2.1487,-0.0039767,7.5193,157.75,179.81,-4.3775,1.3135,1.18,200,144.48,173.11,0,-1,2.5816
-12.539,206.27,144.38,2.5787,-1.2893,-3.3093,200,186.45,135.21,0,-0.059389,3.4774,398.8,172.9,159.99,-5.8148,-2.1323,-0.0033722,7.2819,157.83,179.83,-4.7463,1.4241,0.45385,200,144.43,173.23,0,-1,2.429
-12.379,206.19,144.23,3.1937,-1.5969,-3.0335,200,186.45,135.43,0,-0.048577,4.4482,398.51,172.79,159.99,-5.7559,-2.1107,-0.0027594,7.0268,157.9,179.81,-5.1035,1.5313,-0.27346,200,144.38,173.34,0,-1,2.2705
-12.189,206.09,144.09,3.8009,-1.9005,-2.7502,200,186.45,135.7,0,-0.037646,5.4082,398.23,172.69,159.99,-5.6828,-2.0839,-0.0021399,6.7544,157.98,179.76,-5.4482,1.6347,-1.0001,200,144.33,173.45,0,-1,2.1065
-11.97,205.98,143.96,4.3988,-2.1994,-2.4603,200,186.44,136.02,0,-0.026623,6.3548,397.95,172.59,159.99,-5.5958,-2.052,-0.0015151,6.4654,158.07,179.68,-5.7795,1.7341,-1.7243,200,144.28,173.55,0,-1,1.9373
-11.72,205.86,143.86,4.9859,-2.493,-2.1642,200,186.44,136.38,0,-0.015534,7.2859,397.67,172.49,159.99,-5.4952,-2.0151,-0.00088658,6.1605,158.16,179.56,-6.0966,1.8293,-2.4442,200,144.23,173.63,0,-1,1.7633
-11.442,205.72,143.76,5.5608,-2.7804,-1.8629,200,186.44,136.79,0,-0.0044072,8.1991,397.4,172.39,159.99,-5.381,-1.9732,-0.0002559,5.8406,158.26,179.4,-6.3988,1.92,-3.1582,200,144.18,173.71,0,-1,1.585
-11.136,205.57,143.69,6.122,-3.061,-1.557,200,186.44,137.25,0,0.0067304,9.0922,397.14,172.29,159.99,-5.2536,-1.9265,0.0003754,5.5063,158.36,179.2,-6.6853,2.0059,-3.8644,200,144.13,173.78,0,-1,1.4028
-10.803,205.4,143.62,6.6683,-3.3341,-1.2473,200,186.44,137.74,0,0.017852,9.963,396.88,172.2,159.99,-5.1134,-1.8751,0.0010058,5.1586,158.46,178.98,-6.9553,2.087,-4.5611,200,144.08,173.85,0,-1,1.2172
